011501F.LSA.BHZ.s_fil -0.1632 81.6864166 137.469879 2.970310e+01 9.112700e+01 1.307600e+01 -8.858000e+01 74.6 65.91 -87.85 82.62 88.52 81.64 -86.18 47.2 59.8 0.732148
011501F.WRAB.BHZ.s_fil -0.565 72.3390121 138.357239 -1.993360e+01 1.343600e+02 1.307600e+01 -8.858000e+01 74.6 -3.75 -138.31 -14.05 -171.14 -9.28 -154.49 55 64.3 0.302249
011600C.AKTK.BHZ.s_fil 0.1228 46.1906013 133.907104 5.043480e+01 5.801670e+01 -3.023800e+01 -1.781330e+02 33 10.63 144.32 28.90 126.19 19.99 135.78 29.7 47.5 0.310703
011600C.ARU.BHZ.s_fil 0.1431 43.2079811 132.891937 5.643020e+01 5.856250e+01 -3.023800e+01 -1.781330e+02 33 14.99 149.50 33.42 134.09 24.40 142.36 25.7 44.2 0.333785
011699F.TSUM.BHZ.s_fil -0.7399 52.0603867 141.349854 -1.920220e+01 1.758380e+01 5.623300e+01 -1.474270e+02 21 67.67 -19.64 29.77 5.83 49.31 -1.85 78.6 76.8 0.925979
011901C.ENH.BHZ.s_fil 0.06091 41.8041878 130.349503 3.027620e+01 1.094944e+02 -5.816100e+01 -9.472000e+00 33 -31.94 65.90 -16.53 77.94 -24.35 72.29 17.2 36.2 0.639729
012000C.MBL0.BHZ.s_fil 1.12 15.7019196 140.531845 -7.809300e+01 1.302240e+02 5.661800e+01 -1.618690e+02 220.8 7.52 -175.42 -31.87 177.29 -12.20 -178.78 75.6 75.3 0.512134
012094C.CHM.BHZ.s_fil -0.285 64.8479691 135.534653 4.299860e+01 7.475130e+01 -6.002000e+00 -7.705200e+01 122.5 39.47 -46.12 57.25 -12.86 49.53 -32.49 37.3 53.1 0.885507
012094C.EKS2.BHZ.s_fil -0.269 64.9727097 135.294327 4.266150e+01 7.377720e+01 -6.002000e+00 -7.705200e+01 122.5 39.00 -45.17 56.14 -12.62 48.70 -31.65 36.1 52.3 0.953592
012094C.KBK.BHZ.s_fil -0.24 65.0310516 135.885269 4.265640e+01 7.494780e+01 -6.002000e+00 -7.705200e+01 122.5 39.25 -46.12 57.30 -11.85 49.52 -32.13 39 54.4 0.651493
012094C.TKM.BHZ.s_fil -0.323 64.9447327 135.915588 4.286010e+01 7.531840e+01 -6.002000e+00 -7.705200e+01 122.5 39.49 -46.52 57.76 -12.15 49.87 -32.57 39.2 54.5 1.11951
012094C.USP.BHZ.s_fil -0.33 64.6997223 135.212265 4.326690e+01 7.449970e+01 -6.002000e+00 -7.705200e+01 122.5 39.62 -46.04 57.10 -13.70 49.47 -32.74 35.6 51.9 1.23761
