# Data set from Waszek and Deuss 2011, Journal of Geophysical Research. 
# Provide geographical coordinates of in and out point (at the ICB) and bottom turning point, and travel time residual associated with each raypath. 
# "PKIKP-PKiKP travel time residual", 
# "turn lat",
# "turn lon", 
# "turn depth", 
# "in lat", 
# "in lon", 
# "out lat", 
# "out lon" 
-0.198 82.72 -54.9 39.7 69.45 -81.79 80.06 58.19
0.0499 22.51 139.91 27 12.82 147.12 31.82 131.63
0.2401 10.73 119.77 101.1 -4.12 137.65 24.48 100.11
0.1 34.25 176.2 25.3 22.79 176.9 45.7 175.27
0.195 -10.44 107.77 61.5 -18.94 124.19 -1.15 92.25
-0.443 28.63 -21.75 47.1 16.25 -32.23 40.01 -8.58
-0.6277 21.63 -9.65 95.9 6.42 -26.89 34.68 11.34
-0.511 30.64 -19.42 95.3 12.94 -34.47 45.87 1.88
-0.3859 28.68 -21.36 50.3 15.9 -32.24 40.35 -7.59
0.0567 49.67 151.94 21.5 44.49 138.34 52.92 168.1
0.095 49.66 151.87 21.2 44.52 138.37 52.91 167.89
0.0441 51.38 150.61 21.3 45.91 136.96 54.89 167.2
0.1098 49.72 151.94 21.6 44.52 138.29 52.99 168.16
0.0149 49.66 152.08 22 44.43 138.31 52.92 168.46
0.1051 49.62 151.8 20.9 44.52 138.42 52.86 167.66
0.3949 18.99 72.64 24.1 26.61 81.58 10.97 64.5
0.29 19 72.61 24.2 26.64 81.57 10.97 64.46
0.336 18.97 72.62 24.3 26.63 81.6 10.92 64.45
0.355 18.97 72.65 24.2 26.6 81.6 10.94 64.51
0.215 18.72 72.9 24.2 26.37 81.82 10.69 64.77
0.14 18.68 72.96 24.1 26.32 81.86 10.66 64.85
0.18 18.66 72.94 24.3 26.33 81.88 10.61 64.8
0.28 18.56 73.05 24.3 26.24 81.97 10.5 64.91
-0.0001 -18.41 160.52 34.8 -5.12 158.24 -31.67 163.18
0.2 18.88 71.8 29.2 27.26 81.69 10.02 62.89
0.1759 19.36 72.77 21.7 26.57 81.25 11.79 65.03
0.18 -18.28 157.16 29.1 -6.04 155.59 -30.49 158.98
-0.3061 72.73 -153.48 67.4 60.44 -115.69 69.65 146.14
-0.4399 81.72 -89.5 46.3 66.15 -89.11 82.71 91.74
-0.08801 68.24 -142.85 15.3 62.75 -125.71 71.08 -167.44
-0.77 49.08 -77.56 63.5 63.5 -98.44 32.67 -66.67
-0.1329 26.93 -113.07 89.5 42.43 -131.87 9.57 -99.11
0.19 -15.21 167.76 60 2.36 165.03 -32.74 171
-0.0869 26.27 -114.44 83.8 41.3 -132.34 9.55 -100.9
-0.21399 -6.48 -81.07 17.9 -14.81 -76.16 1.91 -85.82
0.27 44.2 60.44 37 45.65 80 39.67 42.74
0.1071 44.16 128.9 47.9 31.36 140.82 55.06 110.98
-0.6399 40.18 -107.7 33.3 49.35 -121.1 29.84 -97.67
0.175 23.56 69.44 28.3 32.24 79.06 14.35 61.05
0.087 25.57 67.42 26.3 33.87 76.94 16.74 59.18
0.9133 13.52 -35.11 64 -4.83 -33.96 31.86 -36.46
0.96803 -10.89 32.15 17.4 -18.81 26.73 -2.88 37.28
0.244 -2.3 22.94 39.3 -14.87 15.91 10.3 29.83
0.5999 -1.83 22.63 42.3 -14.9 15.39 11.26 29.76
0.361 -10.62 35.38 31.7 -21.26 27.84 0.19 42.41
0.8571 -10.91 32.65 18.9 -19.16 26.98 -2.56 38.01
0.324 -2.58 23.58 40 -15.22 16.42 10.1 30.59
-0.3589 -46.23 -141.24 32.3 -41.57 -158.1 -48.06 -122.3
-0.9047 -28.76 -156.07 95.1 -16.56 -176.58 -37.19 -131.14
-0.5949 -31.04 -157.93 88.6 -18.61 -177.59 -39.73 -133.43
-0.5229 -25.43 -154.09 95.7 -14.07 -174.84 -33.37 -129.79
-0.005 -33.23 -158.97 97.1 -19.63 -179.37 -42.47 -132.54
-0.0899 44.62 -123.51 77.7 55.17 -150.75 29.79 -105.97
-0.065 83.26 -77.32 46.5 67.83 -88.6 80.7 75.53
-0.33 83.07 -116.42 48.7 67.54 -98.88 79.9 104.61
-0.2651 83.96 -99.29 52.9 67.32 -94.17 79.3 91.39
-0.309 83.2 -113.25 48.3 67.62 -98.01 80.1 102.39
-0.04 83.32 -87.13 44.7 68.06 -91.17 81.33 82.83
-0.1701 82.7 -86.89 37.7 68.7 -90.89 83.18 80.78
-0.4271 26.38 -11.65 59 34.36 6.6 16.42 -27.28
0.2881 -22.76 141.8 31.1 -10.01 141.8 -35.51 141.8
0.4 -22.79 141.8 31.4 -9.98 141.8 -35.61 141.8
-0.44 37.14 -25.8 68.3 26.96 -6.82 43.51 -49.36
-0.32 40.75 -23.34 69 29.54 -4.34 47.79 -48.28
-0.56 41.93 -22.4 68.9 30.4 -3.48 49.21 -47.75
-0.3999 41.63 -22.62 68.6 30.2 -3.72 48.84 -47.8
0.2101 -1.49 86.48 42.9 -3.03 101.4 0.16 71.58
-0.547 16.48 -139.16 55.1 11.86 -156.05 19.7 -121.58
0.11995 23.54 137.67 19.5 16.09 144.85 30.62 129.65
-0.4449 18.43 -22.64 67 4.12 -35.12 31.77 -7.96
-0.24 23.67 -30.06 62.1 8.73 -40.73 37.69 -16.69
0.12182 21.88 132.9 16.3 16.7 140.95 26.65 124.27
0.099 21.88 132.9 16.3 16.7 140.95 26.65 124.27
0.09692 21.88 132.9 16.3 16.7 140.95 26.65 124.27
0.11206 21.88 132.9 16.3 16.7 140.95 26.65 124.27
0.11389 21.88 132.9 16.3 16.7 140.95 26.65 124.27
0.0979 21.88 132.9 16.3 16.7 140.95 26.65 124.27
