   0.100000E-01    0.589766E-01   -0.489752E-02   -0.276616E-01    0.118478E+05    0.424131E+04             INF             INF
   0.223637E-01    0.624712E-01   -0.489752E-02   -0.276723E-01    0.118478E+05    0.424131E+04             INF             INF
   0.236888E-01    0.661728E-01   -0.489804E-02   -0.276841E-01    0.118478E+05    0.424131E+04             INF             INF
   0.250924E-01    0.700938E-01   -0.489937E-02   -0.276973E-01    0.118478E+05    0.424131E+04             INF             INF
   0.265793E-01    0.742471E-01   -0.490143E-02   -0.277119E-01    0.118478E+05    0.424131E+04             INF             INF
   0.281542E-01    0.786465E-01   -0.490409E-02   -0.277282E-01    0.118478E+05    0.424131E+04             INF             INF
   0.298224E-01    0.833066E-01   -0.490732E-02   -0.277463E-01    0.118478E+05    0.424131E+04             INF             INF
   0.315895E-01    0.882429E-01   -0.491106E-02   -0.277665E-01    0.118478E+05    0.424131E+04             INF             INF
   0.334613E-01    0.934716E-01   -0.491531E-02   -0.277890E-01    0.118478E+05    0.424131E+04             INF             INF
   0.354440E-01    0.990101E-01   -0.492007E-02   -0.278140E-01    0.118478E+05    0.424131E+04             INF             INF
   0.375442E-01    0.104877E+00   -0.492536E-02   -0.278419E-01    0.118478E+05    0.424131E+04             INF             INF
   0.397688E-01    0.111091E+00   -0.493123E-02   -0.278729E-01    0.118478E+05    0.424131E+04             INF             INF
   0.421253E-01    0.117674E+00   -0.493772E-02   -0.279072E-01    0.118478E+05    0.424131E+04             INF             INF
   0.446214E-01    0.124646E+00   -0.494488E-02   -0.279453E-01    0.118478E+05    0.424131E+04             INF             INF
   0.472654E-01    0.132032E+00   -0.495279E-02   -0.279875E-01    0.118478E+05    0.424131E+04             INF             INF
   0.500660E-01    0.139856E+00   -0.496152E-02   -0.280342E-01    0.118478E+05    0.424131E+04             INF             INF
   0.530326E-01    0.148142E+00   -0.497115E-02   -0.280857E-01    0.118478E+05    0.424131E+04             INF             INF
   0.561750E-01    0.156920E+00   -0.498175E-02   -0.281425E-01    0.118478E+05    0.424131E+04             INF             INF
   0.595036E-01    0.166219E+00   -0.499341E-02   -0.282049E-01    0.118478E+05    0.424131E+04             INF             INF
   0.630294E-01    0.176068E+00   -0.500622E-02   -0.282735E-01    0.118478E+05    0.424131E+04             INF             INF
   0.667641E-01    0.186500E+00   -0.502025E-02   -0.283485E-01    0.118478E+05    0.424131E+04             INF             INF
   0.707201E-01    0.197551E+00   -0.503560E-02   -0.284304E-01    0.118478E+05    0.424131E+04             INF             INF
   0.749105E-01    0.209257E+00   -0.505234E-02   -0.285196E-01    0.118478E+05    0.424131E+04             INF             INF
